name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Bourbon Barrel-Aged Framinghammer,Jack's Abby Brewing,"Massachusetts, United States",Baltic PorterRanked #2,Baltic Porter,Ranked #2, 12%,96Ranked #958,96,Ranked #958,4.33 | pDev: 7.62%,4.33,7.62%,229,"1,592",Active,"Mar 30, 2012"
Baltic Porter,Smuttynose Brewing Company,"New Hampshire, United States",Baltic PorterRanked #13,Baltic Porter,Ranked #13, 9.24%,"94Ranked #1,994",94,"Ranked #1,994",4.25 | pDev: 8.71%,4.25,8.71%,584,"1,434",Active,"Jan 22, 2008"
Baltika #6 Porter,Baltika Breweries,Russia,Baltic PorterRanked #144,Baltic Porter,Ranked #144, 7%,"82Ranked #25,250",82,"Ranked #25,250",3.62 | pDev: 13.81%,3.62,13.81%,643,"1,019",Active,"Jan 28, 2003"
Zywiec Porter,Zywiec Breweries PLC (Heineken),Poland,Baltic PorterRanked #120,Baltic Porter,Ranked #120, 9.5%,"87Ranked #15,692",87,"Ranked #15,692",3.9 | pDev: 12.56%,3.9,12.56%,489,979,Active,"Nov 01, 2001"
Barrel-Aged Framinghammer - Vanilla,Jack's Abby Brewing,"Massachusetts, United States",Baltic PorterRanked #4,Baltic Porter,Ranked #4, 10%,"96Ranked #1,072",96,"Ranked #1,072",4.32 | pDev: 6.94%,4.32,6.94%,133,962,Active,"May 02, 2013"
Baltic Porter,The Duck-Rabbit Craft Brewery,"North Carolina, United States",Baltic PorterRanked #63,Baltic Porter,Ranked #63, 9%,"91Ranked #7,531",91,"Ranked #7,531",4.07 | pDev: 11.3%,4.07,11.3%,500,940,Active,"Aug 10, 2006"
Barrel-Aged Framinghammer - Coffee,Jack's Abby Brewing,"Massachusetts, United States",Baltic PorterRanked #6,Baltic Porter,Ranked #6, 12%,"95Ranked #1,309",95,"Ranked #1,309",4.3 | pDev: 7.44%,4.3,7.44%,119,935,Active,"May 06, 2013"
Smoke,Surly Brewing Company,"Minnesota, United States",Baltic Porter,Baltic Porter,Na, 8.2%,91,91,Na,4.08 | pDev: 11.76%,4.08,11.76%,290,914,Active,"Dec 05, 2007"
Sinebrychoff Porter,Oy Sinebrychoff Ab,Finland,Baltic PorterRanked #26,Baltic Porter,Ranked #26, 7.2%,"92Ranked #4,407",92,"Ranked #4,407",4.15 | pDev: 10.6%,4.15,10.6%,621,903,Active,"Feb 12, 2002"
Framinghammer,Jack's Abby Brewing,"Massachusetts, United States",Baltic PorterRanked #27,Baltic Porter,Ranked #27, 10%,"92Ranked #4,411",92,"Ranked #4,411",4.15 | pDev: 7.23%,4.15,7.23%,146,848,Active,"Jan 17, 2012"
Icelandic Toasted Porter,Einstök Ölgerð (Einstök Beer Company),Iceland,Baltic PorterRanked #129,Baltic Porter,Ranked #129, 6%,"87Ranked #17,679",87,"Ranked #17,679",3.86 | pDev: 10.62%,3.86,10.62%,197,760,Active,"Jan 03, 2012"
Black Boss Porter,BOSS Browar Witnica S.A.,Poland,Baltic PorterRanked #137,Baltic Porter,Ranked #137, 9.4%,"85Ranked #21,408",85,"Ranked #21,408",3.77 | pDev: 14.85%,3.77,14.85%,335,647,Active,"Apr 10, 2004"
"Carnegie Porter 5,5%",Carlsberg Sverige AB,Sweden,Baltic PorterRanked #49,Baltic Porter,Ranked #49, 5.5%,"91Ranked #6,253",91,"Ranked #6,253",4.1 | pDev: 10.49%,4.1,10.49%,367,622,Active,"Feb 04, 2001"
Barrel-Aged Framinghammer - PB&J,Jack's Abby Brewing,"Massachusetts, United States",Baltic PorterRanked #31,Baltic Porter,Ranked #31, 10%,"92Ranked #5,134",92,"Ranked #5,134",4.13 | pDev: 9.93%,4.13,9.93%,67,540,Active,"Mar 11, 2014"
He Said (Baltic Porter),21st Amendment Brewery,"California, United States",Baltic Porter,Baltic Porter,Na, 8.2%,84,84,Na,3.72 | pDev: 11.56%,3.72,11.56%,112,521,Active,"Oct 03, 2013"
Sea Legs Baltic Porter,Uinta Brewing Company,"Utah, United States",Baltic Porter,Baltic Porter,Na, 8%,91,91,Na,4.08 | pDev: 8.33%,4.08,8.33%,110,514,Active,"Dec 25, 2012"
Grande Cuvée Porter Baltique,Les Trois Mousquetaires,"Quebec, Canada",Baltic PorterRanked #14,Baltic Porter,Ranked #14, 10%,"94Ranked #2,059",94,"Ranked #2,059",4.25 | pDev: 9.18%,4.25,9.18%,186,510,Active,"Dec 17, 2008"
Barrel-Aged Framinghammer - Cocoa-Nut,Jack's Abby Brewing,"Massachusetts, United States",Baltic PorterRanked #1,Baltic Porter,Ranked #1, 10%,97Ranked #638,97,Ranked #638,4.38 | pDev: 7.76%,4.38,7.76%,48,501,Active,"Feb 26, 2014"
Fear & Trembling,Hill Farmstead Brewery,"Vermont, United States",Baltic PorterRanked #17,Baltic Porter,Ranked #17, 9.3%,"94Ranked #2,433",94,"Ranked #2,433",4.23 | pDev: 8.04%,4.23,8.04%,86,471,Active,"Jan 21, 2013"
Jurata,Coronado Brewing Company,"California, United States",Baltic PorterRanked #136,Baltic Porter,Ranked #136, 8%,"85Ranked #21,369",85,"Ranked #21,369",3.77 | pDev: 9.28%,3.77,9.28%,75,432,Active,"Feb 07, 2014"
Baltic Porter,Alaskan Brewing Co.,"Alaska, United States",Baltic PorterRanked #32,Baltic Porter,Ranked #32, 9.8%,"92Ranked #5,193",92,"Ranked #5,193",4.13 | pDev: 11.38%,4.13,11.38%,234,424,Active,"Apr 27, 2007"
Porter,Nøgne Ø,Norway,Baltic PorterRanked #69,Baltic Porter,Ranked #69, 7%,"91Ranked #8,045",91,"Ranked #8,045",4.06 | pDev: 10.1%,4.06,10.1%,245,424,Active,"Nov 20, 2003"
5Beans,Sixpoint Brewery,"New York, United States",Baltic PorterRanked #50,Baltic Porter,Ranked #50, 10%,"91Ranked #6,320",91,"Ranked #6,320",4.1 | pDev: 7.32%,4.1,7.32%,123,423,Active,"Nov 01, 2015"
Imperial Baltic Porter,Southampton Publick House,"New York, United States",Baltic Porter,Baltic Porter,Na, 7.2%,88,88,Na,3.94 | pDev: 11.42%,3.94,11.42%,332,378,Active,"Feb 13, 2003"
Caramelized Chocolate Churro Baltic Porter,Moody Tongue Brewing Company,"Illinois, United States",Baltic PorterRanked #108,Baltic Porter,Ranked #108, 7%,"88Ranked #13,736",88,"Ranked #13,736",3.94 | pDev: 13.96%,3.94,13.96%,70,332,Active,"Dec 11, 2014"
Barrel-Aged Framinghammer - Mole,Jack's Abby Brewing,"Massachusetts, United States",Baltic PorterRanked #11,Baltic Porter,Ranked #11, 12%,"94Ranked #2,005",94,"Ranked #2,005",4.26 | pDev: 6.81%,4.26,6.81%,61,263,Active,"Jan 01, 2016"
Double Brown Stout,Deep Ellum Brewing Company,"Texas, United States",Baltic Porter,Baltic Porter,Na, 7%,85,85,Na,3.79 | pDev: 13.19%,3.79,13.19%,35,247,Active,"Nov 21, 2011"
Tsarina Esra,Brouwerij De Molen,Netherlands,Baltic PorterRanked #23,Baltic Porter,Ranked #23, 11%,"93Ranked #4,019",93,"Ranked #4,019",4.17 | pDev: 8.39%,4.17,8.39%,99,241,Active,"Feb 11, 2008"
Cosmic Ristretto,Green Flash Brewing Co.,"California, United States",Baltic Porter,Baltic Porter,Na, 8.2%,91,91,Na,4.09 | pDev: 6.6%,4.09,6.6%,71,238,Active,"May 15, 2015"
Baltic Porter,Foothills Brewing Company - Downtown Brewpub,"North Carolina, United States",Baltic Porter,Baltic Porter,Na, 9%,91,91,Na,4.09 | pDev: 10.02%,4.09,10.02%,128,236,Active,"Oct 02, 2006"
Lagerness Monster,Jack's Abby Brewing,"Massachusetts, United States",Baltic PorterRanked #12,Baltic Porter,Ranked #12, 14%,"94Ranked #2,051",94,"Ranked #2,051",4.26 | pDev: 7.75%,4.26,7.75%,43,216,Active,"Oct 17, 2014"
Porter,Utenos Alus,Lithuania,Baltic Porter,Baltic Porter,Na, 6.8%,80,80,Na,3.5 | pDev: 16%,3.5,16%,184,212,Active,"Jul 09, 2002"
Porteris,Aldaris,Latvia,Baltic Porter,Baltic Porter,Na, 6.8%,84,84,Na,3.71 | pDev: 13.75%,3.71,13.75%,147,211,Active,"Sep 12, 2002"
Danzig Baltic Porter,Devils Backbone Brewing Company,"Virginia, United States",Baltic Porter,Baltic Porter,Na, 8%,88,88,Na,3.94 | pDev: 8.63%,3.94,8.63%,65,207,Active,"Sep 22, 2009"
Raven's Roost Baltic Porter,Parkway Brewing Co.,"Virginia, United States",Baltic PorterRanked #111,Baltic Porter,Ranked #111, 7.1%,"88Ranked #14,300",88,"Ranked #14,300",3.93 | pDev: 9.16%,3.93,9.16%,46,202,Active,"Mar 27, 2013"
Komes Baltic Porter,Browar Fortuna,Poland,Baltic PorterRanked #46,Baltic Porter,Ranked #46, 9%,"91Ranked #6,149",91,"Ranked #6,149",4.11 | pDev: 6.81%,4.11,6.81%,88,189,Active,"Sep 07, 2008"
Mørke - Pumpernickel Porter,Beer Here,Denmark,Baltic Porter,Baltic Porter,Na, 7.5%,92,92,Na,4.14 | pDev: 7.25%,4.14,7.25%,120,185,Active,"Oct 09, 2009"
Akevitt,HaandBryggeriet,Norway,Baltic Porter,Baltic Porter,Na, 7%,90,90,Na,4.03 | pDev: 10.42%,4.03,10.42%,113,185,Active,"Sep 07, 2009"
Bourbon Barrel Aged Shaman's Porter,Atwater Brewery,"Michigan, United States",Baltic Porter,Baltic Porter,Na, 6.8%,76,76,Na,3.29 | pDev: 18.54%,3.29,18.54%,43,183,Active,"Sep 28, 2011"
Grand Imperial Porter,Browar Amber,Poland,Baltic PorterRanked #140,Baltic Porter,Ranked #140, 7.2%,"84Ranked #23,323",84,"Ranked #23,323",3.7 | pDev: 12.7%,3.7,12.7%,85,171,Active,"Jan 07, 2009"
Fear And Trembling (Cabernet/Bourbon Blend),Hill Farmstead Brewery,"Vermont, United States",Baltic Porter,Baltic Porter,Na, 9.3%,94,94,Na,4.25 | pDev: 9.41%,4.25,9.41%,64,167,Active,"Oct 12, 2010"
Bourbon Street Baltic Porter,Abita Brewing Co.,"Louisiana, United States",Baltic Porter,Baltic Porter,Na, 9.25%,87,87,Na,3.87 | pDev: 12.92%,3.87,12.92%,34,167,Active,"Apr 06, 2014"
Kurofune Porter,Baird Brewing Company / Fishmarket Taproom,Japan,Baltic Porter,Baltic Porter,Na, 6%,85,85,Na,3.79 | pDev: 9.76%,3.79,9.76%,93,165,Active,"Jan 10, 2003"
Limfjordsporter,Thisted Bryghus,Denmark,Baltic PorterRanked #99,Baltic Porter,Ranked #99, 7.9%,"89Ranked #11,963",89,"Ranked #11,963",3.98 | pDev: 10.05%,3.98,10.05%,79,150,Active,"Nov 10, 2002"
Hoogstraten Poorter,Brouwerij Sterkens N.V.,Belgium,Baltic PorterRanked #141,Baltic Porter,Ranked #141, 6.5%,"84Ranked #23,500",84,"Ranked #23,500",3.69 | pDev: 14.63%,3.69,14.63%,96,149,Active,"Sep 24, 2000"
Saranac Chocolate Orange,Matt Brewing Company / Saranac Brewery,"New York, United States",Baltic Porter,Baltic Porter,Na, 9%,86,86,Na,3.83 | pDev: 11.23%,3.83,11.23%,42,149,Active,"Mar 02, 2012"
Alice Porter,BrewDog,"Scotland, United Kingdom",Baltic Porter,Baltic Porter,Na, 5.2%,85,85,Na,3.75 | pDev: 11.47%,3.75,11.47%,64,148,Active,"Feb 04, 2011"
Öö,Põhjala Brewery & Tap Room,Estonia,Baltic PorterRanked #39,Baltic Porter,Ranked #39, 10.5%,"92Ranked #5,930",92,"Ranked #5,930",4.12 | pDev: 8.25%,4.12,8.25%,63,146,Active,"Mar 18, 2015"
Porter Culture Porter,Hops & Grain Brewing,"Texas, United States",Baltic Porter,Baltic Porter,Na, 6.5%,87,87,Na,3.86 | pDev: 7.77%,3.86,7.77%,21,138,Active,"Oct 11, 2014"
Coffee Baltic Porter,Crooked Stave Artisan Beer Project,"Colorado, United States",Baltic PorterRanked #52,Baltic Porter,Ranked #52, 8.5%,"91Ranked #6,750",91,"Ranked #6,750",4.1 | pDev: 7.32%,4.1,7.32%,39,135,Active,"Oct 11, 2016"
Grande Cuvée Porter Baltique - Fûts De Bourbon Et Brandy,Les Trois Mousquetaires,"Quebec, Canada",Baltic PorterRanked #15,Baltic Porter,Ranked #15, 10%,"94Ranked #2,213",94,"Ranked #2,213",4.26 | pDev: 8.22%,4.26,8.22%,48,134,Active,"Oct 04, 2013"
Barrel-Aged Framinghammer - Cordon Rouge,Jack's Abby Brewing,"Massachusetts, United States",Baltic Porter,Baltic Porter,Na, 10%,91,91,Na,4.08 | pDev: 8.33%,4.08,8.33%,34,123,Active,"Apr 15, 2016"
Komes Raspberry (Malinowy) Porter,Browar Fortuna,Poland,Baltic PorterRanked #71,Baltic Porter,Ranked #71, 8.5%,"90Ranked #8,479",90,"Ranked #8,479",4.06 | pDev: 9.85%,4.06,9.85%,54,120,Active,"Apr 26, 2018"
Battleaxe,Fat Head's Brewery & Saloon,"Ohio, United States",Baltic PorterRanked #56,Baltic Porter,Ranked #56, 9.2%,"91Ranked #7,266",91,"Ranked #7,266",4.09 | pDev: 7.82%,4.09,7.82%,17,116,Active,"Jul 24, 2009"
Cellar Series: Öö XO,Põhjala Brewery & Tap Room,Estonia,Baltic PorterRanked #16,Baltic Porter,Ranked #16, 11.5%,"94Ranked #2,280",94,"Ranked #2,280",4.26 | pDev: 8.22%,4.26,8.22%,40,113,Active,"Oct 11, 2016"
Barrel-Aged Framinghammer - Graham Cracker,Jack's Abby Brewing,"Massachusetts, United States",Baltic PorterRanked #9,Baltic Porter,Ranked #9, 12%,"95Ranked #1,843",95,"Ranked #1,843",4.29 | pDev: 5.83%,4.29,5.83%,29,106,Active,"Jun 08, 2016"
Old Eight Porter,Barley John's Brew Pub,"Minnesota, United States",Baltic Porter,Baltic Porter,Na, 8%,90,90,Na,4.02 | pDev: 10.45%,4.02,10.45%,44,100,Active,"Aug 13, 2003"
Battleaxe - Bourbon Barrel-Aged,Fat Head's Brewery & Saloon,"Ohio, United States",Baltic PorterRanked #10,Baltic Porter,Ranked #10, 9.2%,"94Ranked #2,032",94,"Ranked #2,032",4.28 | pDev: 8.41%,4.28,8.41%,15,100,Active,"Oct 09, 2010"
Export Porter 1750,Brouwerij Kees,Netherlands,Baltic PorterRanked #48,Baltic Porter,Ranked #48, 10.5%,"91Ranked #6,565",91,"Ranked #6,565",4.11 | pDev: 7.54%,4.11,7.54%,49,97,Active,"May 15, 2015"
Barrel-Aged 4Beans,Sixpoint Brewery,"New York, United States",Baltic Porter,Baltic Porter,Na, 11%,92,92,Na,4.17 | pDev: 6.47%,4.17,6.47%,39,95,Active,"Nov 17, 2018"
Imperial Porter,Twisted Pine Brewing Company,"Colorado, United States",Baltic Porter,Baltic Porter,Na, 9%,87,87,Na,3.86 | pDev: 10.1%,3.86,10.1%,45,92,Active,"Oct 28, 2002"
Chocolate Porter,Meantime Brewing Company Limited,"England, United Kingdom",Baltic PorterRanked #124,Baltic Porter,Ranked #124, 6.5%,"87Ranked #16,589",87,"Ranked #16,589",3.88 | pDev: 10.57%,3.88,10.57%,25,83,Active,"Nov 17, 2010"
Fat Boy,The Olde Mecklenburg Brewery,"North Carolina, United States",Baltic PorterRanked #128,Baltic Porter,Ranked #128, 8.5%,"87Ranked #17,898",87,"Ranked #17,898",3.85 | pDev: 12.47%,3.85,12.47%,15,80,Active,"Jan 13, 2013"
Grand Baltic Porter,Garrison Brewing Company,"Nova Scotia, Canada",Baltic Porter,Baltic Porter,Na, 9%,86,86,Na,3.84 | pDev: 9.38%,3.84,9.38%,52,78,Active,"Jan 18, 2009"
Black Lightning Porter,Lightning Brewery,"California, United States",Baltic Porter,Baltic Porter,Na, 8.5%,84,84,Na,3.68 | pDev: 14.67%,3.68,14.67%,54,76,Active,"Feb 07, 2007"
Porticus,Gasthaus & Gosebrauerei Bayerischer Bahnhof,Germany,Baltic Porter,Baltic Porter,Na, 7%,82,82,Na,3.6 | pDev: 21.67%,3.6,21.67%,44,76,Active,"Dec 30, 2010"
Lost River Baltic Porter,Bellwoods Brewery,"Ontario, Canada",Baltic Porter,Baltic Porter,Na, 8%,89,89,Na,3.97 | pDev: 7.05%,3.97,7.05%,22,74,Active,"Apr 27, 2012"
Side Project #28: Smoke On The Porter,Terrapin Beer Company,"Georgia, United States",Baltic Porter,Baltic Porter,Na, 8.5%,86,86,Na,3.83 | pDev: 14.62%,3.83,14.62%,25,74,Active,"Nov 11, 2016"
Chilly Water,Trinity Brewing Company,"Colorado, United States",Baltic PorterRanked #134,Baltic Porter,Ranked #134, 8.5%,"86Ranked #20,201",86,"Ranked #20,201",3.79 | pDev: 15.57%,3.79,15.57%,18,73,Active,"Mar 14, 2012"
Baltic Anomaly,New Holland Brewing Company,"Michigan, United States",Baltic Porter,Baltic Porter,Na, 8.5%,86,86,Na,3.83 | pDev: 8.62%,3.83,8.62%,23,72,Active,"Jun 02, 2017"
