name,brewery,location,type_rank,type_,rank,abv,score_orank,score,overall_rank,avg_and_pdev,avg_rating,pdev,reviews,ratings,status,date_added
Oberon,Bell's Brewery - Eccentric Café & General Store,"Michigan, United States",American Pale Wheat BeerRanked #38,American Pale Wheat Beer,Ranked #38, 5.8%,"86Ranked #19,044",86,"Ranked #19,044",3.83 | pDev: 12.27%,3.83,12.27%,"1,952","7,414",Active,"Apr 17, 2002"
Gumballhead,3 Floyds Brewing Co.,"Indiana, United States",American Pale Wheat BeerRanked #5,American Pale Wheat Beer,Ranked #5, 5.6%,"93Ranked #3,160",93,"Ranked #3,160",4.19 | pDev: 10.26%,4.19,10.26%,"1,700","6,419",Active,"Apr 17, 2003"
Samuel Adams Summer Ale,Boston Beer Company (Samuel Adams),"Massachusetts, United States",American Pale Wheat BeerRanked #210,American Pale Wheat Beer,Ranked #210, 5.3%,"76Ranked #27,601",76,"Ranked #27,601",3.34 | pDev: 16.17%,3.34,16.17%,"1,775","5,932",Active,"May 09, 2001"
312 Urban Wheat,Goose Island Beer Co.,"Illinois, United States",American Pale Wheat BeerRanked #204,American Pale Wheat Beer,Ranked #204, 4.2%,"77Ranked #27,376",77,"Ranked #27,376",3.39 | pDev: 15.04%,3.39,15.04%,"1,008","4,867",Active,"Apr 16, 2004"
Oarsman Ale,Bell's Brewery - Eccentric Café & General Store,"Michigan, United States",American Pale Wheat BeerRanked #173,American Pale Wheat Beer,Ranked #173, 4%,"80Ranked #26,439",80,"Ranked #26,439",3.53 | pDev: 15.3%,3.53,15.3%,661,"2,343",Active,"Apr 12, 2009"
Unfiltered Wheat,Boulevard Brewing Co.,"Missouri, United States",American Pale Wheat BeerRanked #160,American Pale Wheat Beer,Ranked #160, 4.4%,"81Ranked #26,128",81,"Ranked #26,128",3.56 | pDev: 14.61%,3.56,14.61%,618,"2,181",Active,"Aug 17, 2001"
Circus Boy The Hefeweizen!,Magic Hat Brewing Company,"Vermont, United States",American Pale Wheat BeerRanked #206,American Pale Wheat Beer,Ranked #206, 4.5%,"77Ranked #27,415",77,"Ranked #27,415",3.38 | pDev: 17.46%,3.38,17.46%,674,"1,733",Active,"Feb 03, 2006"
80-Acre Hoppy Wheat,Boulevard Brewing Co.,"Missouri, United States",American Pale Wheat BeerRanked #23,American Pale Wheat Beer,Ranked #23, 5.5%,"88Ranked #15,234",88,"Ranked #15,234",3.91 | pDev: 11%,3.91,11%,247,"1,724",Active,"Jan 07, 2011"
Honey Weiss,Jacob Leinenkugel Brewing Company,"Wisconsin, United States",American Pale Wheat BeerRanked #224,American Pale Wheat Beer,Ranked #224, 4.9%,"70Ranked #28,312",70,"Ranked #28,312",3.03 | pDev: 19.8%,3.03,19.8%,480,"1,616",Active,"Mar 07, 2002"
UFO Hefeweizen,Harpoon Brewery & Beer Hall,"Massachusetts, United States",American Pale Wheat BeerRanked #198,American Pale Wheat Beer,Ranked #198, 4.8%,"78Ranked #27,271",78,"Ranked #27,271",3.41 | pDev: 14.66%,3.41,14.66%,607,"1,506",Active,"Jan 25, 2001"
